movie_title,movie_info,movie_rating
Before Stonewall,"This documentary by Greta Schiller takes a look at the sometimes oblique American acknowledgment of homosexuals in the decades before a historical flashpoint in 1969. Late that year, the Stonewall Inn, a gay bar in Greenwich Village was stormed by police and its patrons arrested -- resulting in two days of rioting. Allen Ginsberg and other celebrities talk about past police tactics, witch-hunts, censorship, and historical ""cleansing"" operations that violated human rights and civil liberties -- such as routing gays and lesbians out of the State Department. A certain openness about sexual preferences started appearing in the 1920s and accelerated during World War II, eventually culminating in the organized movements of the 1960s and later demanding an end to discrimination. Older and younger generations of gays and lesbians present different viewpoints on a variety of topics, and conflicts or disagreements between gays and lesbians are outlined. The seriousness of the subject of discrimination is balanced with humor, which makes this documentary more accessible to straight audiences unfamiliar with the topic. ~ Eleanor Mannikka, Rovi",NR
Booksmart,"The story follows Dever and Feldstein's characters, two academic superstars and best friends who, on the eve of their high school graduation, suddenly realize that they should have worked less and played more. Determined never to fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",R
Braid,"Two wanted women decide to rob their wealthy yet mentally unstable friend who lives in a fantasy world they all created as children. To take her money, the girls must take part in a deadly and perverse game of make believe throughout a sprawling yet decaying estate. As things become increasingly violent and hallucinatory, they realize that obtaining the money may be the least of their concerns.",R
Breakthrough,"BREAKTHROUGH is based on the inspirational true story of one mother's unfaltering love in the face of impossible odds. When Joyce Smith's adopted son John falls through an icy Missouri lake, all hope seems lost. But as John lies lifeless, Joyce refuses to give up. Her steadfast belief inspires those around her to continue to pray for John's recovery, even in the face of every case history and scientific prediction. From producer DeVon Franklin (Miracles from Heaven) and adapted for the screen by Grant Nieporte (Seven Pounds) from Joyce Smith's own book, BREAKTHROUGH is an enthralling reminder that faith and love can create a mountain of hope, and sometimes even a miracle.",PG
Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",R
Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",PG-13
Captive State,"Set in a Chicago neighborhood nearly a decade after an occupation by an extra-terrestrial force, ""Captive State"" explores the lives on both sides of the conflict - the collaborators and dissidents.",PG-13
Charlie Says,"Three young women were sentenced to death for the infamous Manson murders. Their sentences became life imprisonment when the death penalty was lifted in California. One young graduate student was sent in to teach them. Through her, we witness their transformations as they face the reality of their horrific crimes.",R
Child's Play,"A contemporary re-imagining of the 1988 horror classic, Child's Play follows Karen (Aubrey Plaza), a single mother who gifts her son Andy (Gabriel Bateman) a Buddi doll, unaware of its more sinister nature.",R
Cold Pursuit,"COLD PURSUIT, an action thriller infused with irreverent humor, stars Liam Neeson as Nels Coxman, a family man whose quiet life with his wife (Laura Dern) is upended following the mysterious death of their son. Nels' search for justice turns into a vengeful hunt for Viking (Tom Bateman), a drug lord he believes is connected to the death. As one by one of Viking's associates ""disappear,"" Nels goes from upstanding citizen to ice-cold vigilante, letting nothing -- and no one -- get in his way.",R
Crawl,"When a massive hurricane hits her Florida hometown, Haley (Kaya Scodelario) ignores evacuation orders to search for her missing father (Barry Pepper). Finding him gravely injured in the crawl space of their family home, the two become trapped by quickly encroaching floodwaters. As time runs out to escape the strengthening storm, Haley and her father discover that the rising water level is the least of their fears.",R
Dark Phoenix,"In DARK PHOENIX, the X-MEN face their most formidable and powerful foe: one of their own, Jean Grey. During a rescue mission in space, Jean is nearly killed when she is hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. Wrestling with this entity inside her, Jean unleashes her powers in ways she can neither comprehend nor contain. With Jean spiraling out of control, and hurting the ones she loves most, she begins to unravel the very fabric that holds the X-Men together. Now, with this family falling apart, they must find a way to unite -- not only to save Jean's soul, but to save our very planet from aliens who wish to weaponize this force and rule the galaxy.",PG-13
Dolemite Is My Name,"Stung by a string of showbiz failures, floundering comedian Rudy Ray Moore (Academy Award nominee Eddie Murphy) has an epiphany that turns him into a word-of-mouth sensation: step onstage as someone else. Borrowing from the street mythology of 1970s Los Angeles, Moore assumes the persona of Dolemite, a pimp with a cane and an arsenal of obscene fables. However, his ambitions exceed selling bootleg records deemed too racy for mainstream radio stations to play. Moore convinces a social justice-minded dramatist (Keegan-Michael Key) to write his alter ego a film, incorporating kung fu, car chases, and Lady Reed (Da'Vine Joy Randolph), an ex-backup singer who becomes his unexpected comedic foil. Despite clashing with his pretentious director, D'Urville Martin (Wesley Snipes), and countless production hurdles at their studio in the dilapidated Dunbar Hotel, Moore's Dolemite becomes a runaway box office smash and a defining movie of the Blaxploitation era.",R
Don't Come Back from the Moon,"DON'T COME BACK FROM THE MOON is a story of abandonment, when all the men in a remote California desert town walk away from their families, one by one. They leave their angry, frustrated sons and daughters behind -- kids who act out, engage in acts of petty burglary and vandalism, and look for love and family connection in the aftermath of their abandonment, all the while trying to understand why their fathers have ""gone to the moon,"" leaving them to traverse the difficult path to adulthood alone.",NR
Dragged Across Concrete,"DRAGGED ACROSS CONCRETE follows two police detectives who find themselves suspended when a video of their strong-arm tactics is leaked to the media. With little money and no options, the embittered policemen descend into the criminal underworld and find more than they wanted waiting in the shadows.",R
Dragon Ball Super: Broly,"A planet destroyed, a powerful race reduced to nothing. After the devastation of Planet Vegeta, three Saiyans were scattered among the stars, destined for different fates. While two found a home on Earth, the third was raised with a burning desire for vengeance and developed an unbelievable power. And the time for revenge has come. Destinies collide in a battle that will shake the universe to its very core!",PG
Dumbo,"From Disney and visionary director Tim Burton, the all-new grand live-action adventure ""Dumbo"" expands on the beloved classic story where differences are celebrated, family is cherished and dreams take flight. Circus owner Max Medici (Danny DeVito) enlists former star Holt Farrier (Colin Farrell) and his children Milly (Nico Parker) and Joe (Finley Hobbins) to care for a newborn elephant whose oversized ears make him a laughingstock in an already struggling circus. But when they discover that Dumbo can fly, the circus makes an incredible comeback, attracting persuasive entrepreneur V.A. Vandevere (Michael Keaton), who recruits the peculiar pachyderm for his newest, larger-than-life entertainment venture, Dreamland. Dumbo soars to new heights alongside a charming and spectacular aerial artist, Colette Marchant (Eva Green), until Holt learns that beneath its shiny veneer, Dreamland is full of dark secrets.",PG
Echo In the Canyon,"Echo In The Canyon celebrates the explosion of popular music that came out of LA's Laurel Canyon in the mid-60s as folk went electric and The Byrds, The Beach Boys, Buffalo Springfield and The Mamas and the Papas gave birth to the California Sound. It was a moment (1965 to 1967) when bands came to LA to emulate The Beatles and Laurel Canyon emerged as a hotbed of creativity and collaboration for a new generation of musicians who would soon put an indelible stamp on the history of American popular music. Featuring Jakob Dylan, the film explores the beginnings of the Laurel Canyon music scene. Dylan uncovers never-before-heard personal details behind the bands and their songs and how that music continues to inspire today. Echo in the Canyon contains candid conversations and performances with Brian Wilson, Ringo Starr, Michelle Phillips, Eric Clapton, Stephen Stills, David Crosby, Graham Nash, Roger McGuinn and Jackson Browne as well as contemporary musicians they influenced such as Tom Petty (in his very last film interview), Beck, Fiona Apple, Cat Power, Regina Spektor and Norah Jones.",PG-13
Egg,"An unflinching comedy about why women choose motherhood, why they revere it, fear it, and why some women choose to forgo it. Over the course of one explosive evening, two couples and a surrogate must face their own ridiculous and sometimes heartbreaking shortcomings. With sharp cutting dialogue and complicated characters, EGG is about the personal, social, professional, and ideological implications of bringing new life into the world. Artist Tina (Alysia Reiner, ""Orange Is the New Black"") and her passive-aggressive feminist husband (Gbenga Akinnagbe, ""The Deuce"") invite her eight-months pregnant art school rival (Christina Hendricks,""Mad Men"") and power hungry, new-money husband (David Alan Basche, The Exes) to their Brooklyn loft, surprising them with Tina's new work-in-progress: a radical alternative to motherhood. But when their sensuous, non-traditional surrogate arrives (Anna Camp, Pitch Perfect) the truth comes out, and the patriarchy fights to hang on by its teeth.",NR
El Camino: A Breaking Bad Movie,"The Netflix Television Event EL CAMINO: A BREAKING BAD MOVIE reunites fans with Jesse Pinkman (Emmy-winner Aaron Paul). In the wake of his dramatic escape from captivity, Jesse must come to terms with his past in order to forge some kind of future.",NR
El Chicano,"When L.A.P.D. Detective Diego Hernandez is assigned a career-making case investigating a vicious cartel, he uncovers links to his brother's supposed suicide and a turf battle that's about to swallow his neighborhood. Torn between playing by the book and seeking justice, he resurrects the masked street legend El Chicano. Now, out to take down his childhood buddy turned gang boss, he sets off a bloody war to defend his city and avenge his brother's murder",R
Eli,"ELI is the story of a young boy plagued with an unknown, debilitating illness that requires him to live completely sealed off from the outside world. After exhausting every option, his parents put their trust -- and his life -- in the hands of a doctor whose experimental, cutting edge treatments may hold Eli's last hope. As Eli undergoes the tremendously intense process that could potentially cure him, he begins to be haunted by experiences that make him question who he can trust.",R
Escape Room,Escape Room is a psychological thriller about six strangers who find themselves in circumstances beyond their control and must use their wits to find the clues or die.,PG-13
Everybody Knows (Todos lo saben),"The film follows Laura (Cruz) on her travels from Argentina to her small home town in Spain for her sister's wedding, bringing her two children along for the occasion. Amid the joyful reunion and festivities, the eldest daughter is abducted. In the tense days that follow, various family and community tensions surface and deeply hidden secrets are revealed.",R
"Extremely Wicked, Shockingly Evil and Vile","Elizabeth Kloepfer refused for years to acknowledge that her boyfriend was a serial killer. Her partner, Ted Bundy, became famous in the 1980s for committing several heinous crimes against women, despite her disbelief, who watched passively as the murders were unleashed from a very unique perspective.",R
Fast & Furious Presents: Hobbs & Shaw,"Ever since hulking lawman Hobbs (Dwayne Johnson), a loyal agent of America's Diplomatic Security Service, and lawless outcast Shaw (Jason Statham), a former British military elite operative, first faced off in 2015's Furious 7, the duo have swapped smack talk and body blows as they've tried to take each other down. But when cyber-genetically enhanced anarchist Brixton (Idris Elba) gains control of an insidious bio-threat that could alter humanity forever--and bests a brilliant and fearless rogue MI6 agent (The Crown's Vanessa Kirby), who just happens to be Shaw's sister--these two sworn enemies will have to partner up to bring down the only guy who might be badder than themselves.",PG-13
Fast Color,"Hunted by mysterious forces, a young woman (Gugu Mbatha-Raw) with supernatural abilities must go on the run when her powers are discovered. With nowhere else to go, she flees back to her family and the farmhouse she abandoned long ago. There, while being pursued by the local Sheriff (David Strathairn), she begins to mend the broken relationships with her mother (Lorraine Toussaint) and daughter (Saniyya Sidney) and learns that the power she needed was inside her all along.",PG-13
Fighting with My Family,"FIGHTING WITH MY FAMILY is a heartwarming comedy based on the incredible true story of WWE Superstar Paige(TM). Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for WWE. But when only Paige earns a spot in the competitive training program, she must leave her family and face this new, cut-throat world alone. Paige's journey pushes her to dig deep, fight for her family, and ultimately prove to the world that what makes her different is the very thing that can make her a star.",PG-13
Five Feet Apart,"Stella Grant (Haley Lu Richardson) is every bit a seventeen-year-old... she's attached to her laptop and loves her best friends. But unlike most teenagers, she spends much of her time living in a hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control -- all of which is put to the test when she meets an impossibly charming fellow CF patient named Will Newman (Cole Sprouse). There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction. Further complicating matters is Will's potentially dangerous rebellion against his ongoing medical treatment. Stella gradually inspires Will to live life to the fullest, but can she ultimately save the person she loves when even a single touch is off limits?",PG-13
Giant Little Ones,"Franky Winter (Josh Wiggins) and Ballas Kohl (Darren Mann) have been best friends since childhood. They are high school royalty: handsome, stars of the swim team and popular with girls. They live a perfect teenage life - until the night of Franky's epic 17th birthday party, when Franky and Ballas are involved in an unexpected incident that changes their lives forever. Giant Little Ones is a heartfelt and intimate coming-of-age story about friendship, self-discovery, and the power of love without labels.",R
Girl,"GIRL tells the story of 15-year-old Lara who wants to become a ballerina, with a classical training for female dancers. Lara is accepted in a ballet school and her dream seems closer than ever. But there is one problem: Lara was born into the body of a boy. A body that she will push to its limits in order for her to succeed.",R
Glass,"From Unbreakable, Bruce Willis returns as David Dunn as does Samuel L. Jackson as Elijah Price, known also by his pseudonym Mr. Glass. Joining from Split are James McAvoy, reprising his role as Kevin Wendell Crumb and the multiple identities who reside within, and Anya Taylor-Joy as Casey Cooke, the only captive to survive an encounter with The Beast. Following the conclusion of Split, Glass finds Dunn pursuing Crumb's superhuman figure of The Beast in a series of escalating encounters, while the shadowy presence of Price emerges as an orchestrator who holds secrets critical to both men.",PG-13
Gloria Bell,"Gloria (Julianne Moore) is a free-spirited divorcée who spends her days at a straight-laced office job and her nights on the dance floor, joyfully letting loose at clubs around Los Angeles. After meeting Arnold (John Turturro) on a night out, she finds herself thrust into an unexpected new romance, filled with both the joys of budding love and the complications of dating, identity and family.",R
Godzilla: King of the Monsters,"The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species - thought to be mere myths - rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",PG-13
Gregory's Girl,"In this charming and frequently hilarious comedy, an awkward Scottish schoolboy is hopelessly in love with the independent female goalie who replaced him on the school soccer team. Luckily, he has a 10-year-old sister to whom he can turn for advice on love!",PG
Greta,"A sweet, naïve young woman trying to make it on her own in New York City, Frances (Chloë Grace Moretz) doesn't think twice about returning the handbag she finds on the subway to its rightful owner. That owner is Greta (Isabelle Huppert), an eccentric French piano teacher with a love for classical music and an aching loneliness. Having recently lost her mother, Frances quickly grows closer to widowed Greta. The two become fast friends - but Greta's maternal charms begin to dissolve and grow increasingly disturbing as Frances discovers that nothing in Greta's life is what it seems in this suspense thriller from Academy Award (R) winning director Neil Jordan.",R
Gwen,"Gwen is a young girl desperately trying to hold her home together--struggling with her mother's mysterious illness, her father's absence and a ruthless mining company encroaching on their land. As a growing darkness begins to take grip of her home, the local community grows suspicious and turns on Gwen and her family.",NR
Hampstead,"Though Emily (Diane Keaton) and Donald (Brendan Gleeson) live in the same idyllic London neighborhood of Hampstead, the worlds they inhabit could not be more different. She is an American widow occupying a posh apartment she can no longer afford and filling her time with charity work as she struggles to figure out a next step. He is a gruff Irish loner who lives off the land in a makeshift cabin and wants nothing more than to be left in peace. When his home is threatened by greedy real estate developers, Emily believes she has found her new cause--but gets more than she bargained for when unexpected romance blossoms. Based on an inspiring true story, Hampstead is a buoyant, sparklingly witty tale of two underdogs who took on the system and showed a nation that heart is where the home is.",PG-13
Happy Death Day 2U,"Jessica Rothe leads the returning cast of HAPPY DEATH DAY 2U, the follow-up to Blumhouse's (Split, Get Out, The Purge series) surprise 2017 smash hit of riveting, repeating twists and comic turns. This time, our hero Tree Gelbman (Rothe) discovers that dying over and over was surprisingly easier than the dangers that lie ahead. Jason Blum once again produces and Christopher Landon returns to write and direct this next chapter, while Happy Death Day executive producers Angela Mancuso and John Baldecchi are newly joined by EP Samson Mucke (Scouts Guide to the Zombie Apocalypse).",PG-13
Head Count,"Newcomer Evan joins a group of teens on a getaway in Joshua Tree. While exchanging ghost stories around the campfire, Evan reads aloud a mysterious chant from an internet site. From that moment, someone--or something--is among them. As unsettling, inexplicable events become more frequent, Evan realizes this summoned shape-shifting creature is targeting them to fulfill a deadly ritual.",NR
Hellboy,"Hellboy is back, and he's on fire. From the pages of Mike Mignola's seminal work, this action packed story sees the legendary half-demon superhero (David Harbour, ""Stranger Things"") called to the English countryside to battle a trio of rampaging giants. There he discovers The Blood Queen, Nimue (Milla Jovovich, Resident Evil series), a resurrected ancient sorceress thirsting to avenge a past betrayal. Suddenly caught in a clash between the supernatural and the human, Hellboy is now hell-bent on stopping Nimue without triggering the end of the world.",R
High Life,"Monte (Robert Pattinson) and his baby daughter are the last survivors of a damned and dangerous mission to the outer reaches of the solar system.The crew death-row inmates led by a doctor (Juliette Binoche) with sinister motives has vanished. As the mystery of what happened onboard the ship is unraveled, father and daughter must rely on each other to survive as they hurtle toward the oblivion of a black hole. A staggering and primal film about love and intimacy, suffused with anguished memories of a lost Earth, High Life is a haunting, thrilling achievement from visionary director Claire Denis",R
Hotel Mumbai,"A gripping true story of humanity and heroism, HOTEL MUMBAI vividly recounts the 2008 siege of the famed Taj Hotel by a group of terrorists in Mumbai, India. Among the dedicated hotel staff is the renowned chef Hemant Oberoi (Anupam Kher) and a waiter (Academy Award-Nominee Dev Patel, Slumdog Millionaire) who choose to risk their lives to protect their guests. As the world watches on, a desperate couple (Armie Hammer, Call Me By Your Name and Nazanin Boniadi, ""Homeland"") is forced to make unthinkable sacrifices to protect their newborn child.",R
How to Train Your Dragon: The Hidden World,"Now chief and ruler of Berk alongside Astrid, Hiccup has created a gloriously chaotic dragon utopia. When the sudden appearance of female Light Fury coincides with the darkest threat their village has ever faced, Hiccup and Toothless must leave the only home they've known and journey to a hidden world thought only to exist in myth. As their true destines are revealed, dragon and rider will fight together-to the very ends of the Earth-to protect everything they've grown to treasure.",PG
Isn't It Romantic,"New York City architect Natalie works hard to get noticed at her job but is more likely to be asked to deliver coffee and bagels than to design the city's next skyscraper. And if things weren't bad enough, Natalie, a lifelong cynic when it comes to love, has an encounter with a mugger that renders her unconscious, waking to discover that her life has suddenly become her worst nightmare -- a romantic comedy -- and she is the leading lady.",PG-13
John Wick: Chapter 3 - Parabellum,"In this third installment of the adrenaline-fueled action franchise, super-assassin John Wick (Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin's guild, the High Table, John Wick is excommunicado, but the world's most ruthless hit men and women await his every turn.",R
King of Thieves,A true crime film about a crew of retired crooks who pull off a major heist in London's jewelry district. What starts off as their last criminal hurrah quickly turns into a brutal nightmare due to greed. Based on infamous true events.,R
Knock Down the House,"When tragedy struck her family in the midst of the financial crisis, Bronx-born Alexandria Ocasio-Cortez had to work double shifts in a restaurant to save her home from foreclosure. After losing a loved one to a preventable medical condition, Amy Vilela didn't know what to do with the anger she felt about America's broken health care system. Cori Bush was drawn into the streets when the police shooting of an unarmed black man brought protests and tanks into her neighborhood. Paula Jean Swearengin was fed up with watching her friends and family suffer and die from the environmental effects of the coal industry. At a moment of historic volatility in American politics, these four women decide to fight back, setting themselves on a journey that will change their lives and their country forever. Without political experience or corporate money, they build a movement of insurgent candidates challenging powerful incumbents in Congress. Their efforts result in a legendary upset.",PG
Light of My life,"A girl (Anna Pniowsky) and her father (Casey Affleck) journey through the outskirts of society a decade after a pandemic has wiped out nearly all the world's female population. As a father struggles to protect his daughter's innocence, shielding her from newfound dangers, their bond and the character of humanity is tested.",R
Little,"Marsai Martin (TV's Black-ish) stars in and executive produces Universal Pictures' LITTLE, a comedy from producer Will Packer (Girls Trip, Ride Along and Think Like a Man series) based on an idea the young actress pitched. Directed by Tina Gordon (Peeples), the film tells the story of a woman who-when the pressures of adulthood become too much to bear-gets the chance to relive the carefree life of her younger self.",PG-13
Little Woods,"Little Woods, North Dakota, a fracking boomtown well beyond its prime. Ollie is trying to survive the last few days of her probation after getting caught illegally running prescription pills over the Canadian border. But when her mother dies, she is thrust back into the life of her estranged sister Deb (James), who is facing her own crisis with an unplanned pregnancy and a deadbeat ex. The two find they have one week to settle the mortgage on their mother's house or face foreclosure. As bills and pressure mount, Ollie faces a choice: whether to return to a way of life she thought she'd left behind for just one more score or to leave it all behind. A taut and affecting thriller about sisters pushed to extremes from award-winning director Nia DaCosta.",R
Long Shot,"Fred Flarsky (Seth Rogen) is a gifted and free-spirited journalist with an affinity for trouble. Charlotte Field (Charlize Theron) is one of the most influential women in the world. Smart, sophisticated, and accomplished, she's a powerhouse diplomat with a talent for... well, mostly everything. The two have nothing in common, except that she was his babysitter and childhood crush. When Fred unexpectedly reconnects with Charlotte, he charms her with his self-deprecating humor and his memories of her youthful idealism. As she prepares to make a run for the Presidency, Charlotte impulsively hires Fred as her speechwriter, much to the dismay of her trusted advisors. A fish out of water on Charlotte's elite team, Fred is unprepared for her glamorous lifestyle in the limelight. However, sparks fly as their unmistakable chemistry leads to a round-the-world romance and a series of unexpected and dangerous incidents.",R
Lords of Chaos,"A teenager's quest to launch Norwegian Black Metal in Oslo in the 1980s results in a very violent outcome. Lords of Chaos tells the true story of True Norwegian Black Metal and its most notorious practitioners - a group of young men with a flair for publicity, church-burning and murder: MAYHEM.",R
Luce,"It's been ten years since Amy and Peter Edgar (Naomi Watts and Tim Roth) adopted their son from war-torn Eritrea, and they thought the worst was behind them. Luce Edgar (Kelvin Harrison Jr.) has become an all-star student beloved by his community in Arlington, Virginia. His African American teacher, Harriet Wilson (Octavia Spencer), believes he is a symbol of black excellence that sets a positive example for his peers. But when he is assigned to write an essay in the voice of a historical twentieth-century figure, Luce turns in a paper that makes an alarming statement about political violence. Worried about how this assignment reflects upon her star pupil, Harriet searches his locker and finds something that confirms her worst fears.",R
Ma,"Oscar (R) winner Octavia Spencer stars as Sue Ann, a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town (Diana Silvers, Glass), to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own. She offers the kids the chance to avoid drinking and driving by hanging out in the basement of her home. But there are some house rules: One of the kids has to stay sober. Don't curse. Never go upstairs. And call her ""Ma."" But as Ma's hospitality starts to curdle into obsession, what began as a teenage dream turns into a terrorizing nightmare, and Ma's place goes from the best place in town to the worst place on earth.",R
